category,storage_type,shelf_life_days,days_remaining_at_purchase,days_until_expiry,risk_level
0,2,5,4,3,Low
6,1,16,15,12,Low
8,1,4,3,1,High
3,1,5,4,3,Medium
0,2,7,6,3,Medium
1,1,7,6,6,High
7,1,3,3,0,Low
2,1,16,16,13,Low
6,1,13,10,9,High
1,1,27,23,23,Low
1,1,13,13,10,Low
6,1,11,9,8,Low
2,1,11,10,10,High
8,1,2,1,0,High
5,1,6,4,4,High
5,0,8,8,7,High
2,1,25,20,20,High
8,1,3,2,2,High
6,2,13,13,11,Low
1,1,18,17,14,Low
7,1,1,1,0,Low
3,1,6,4,3,High
2,1,29,29,27,Low
1,1,21,19,19,Medium
7,1,3,2,2,Medium
8,0,6,4,2,High
1,1,23,23,22,Low
7,1,2,2,2,Medium
8,1,3,3,3,Medium
1,1,23,21,21,Low
5,1,10,7,4,High
7,1,5,4,1,Medium
6,1,6,6,3,Low
5,0,9,7,7,High
0,2,7,7,6,Low
6,2,21,16,15,High
5,1,5,4,1,Low
4,0,146,145,145,High
8,1,6,4,1,High
6,1,15,10,9,Medium
3,1,14,12,11,Medium
2,1,24,23,23,Medium
6,1,20,17,17,Low
6,1,5,5,2,Low
2,1,27,24,22,High
8,1,4,4,3,Low
1,1,30,20,20,Low
1,1,17,16,13,Medium
4,0,147,104,103,Medium
7,1,4,4,2,Low
1,1,28,23,21,High
6,1,18,15,15,High
2,1,15,11,11,Low
6,1,18,18,18,Low
5,1,4,4,3,Medium
0,2,4,3,0,Medium
4,0,242,233,233,High
1,1,27,22,21,Medium
3,1,3,3,0,Medium
0,2,6,6,6,Medium
0,2,2,2,0,Low
2,1,27,19,18,High
2,1,8,6,6,Medium
3,1,13,9,9,High
8,0,2,1,1,High
0,2,7,6,6,Low
8,0,3,3,3,Low
8,0,5,4,2,Low
6,1,19,14,12,High
1,1,13,12,12,Low
7,1,4,3,2,Medium
3,1,11,10,8,High
0,2,5,5,3,High
4,0,143,102,101,Low
6,1,3,3,3,High
1,1,10,10,8,High
8,0,2,1,0,High
1,1,24,16,15,High
6,1,21,17,14,Low
5,1,4,4,2,Low
1,1,18,14,13,Low
1,1,29,28,28,High
7,1,4,4,3,Low
7,1,1,1,1,Low
8,0,4,4,1,Medium
7,1,2,2,0,High
8,1,2,2,0,Medium
7,1,2,2,2,Medium
5,0,7,6,6,Medium
2,1,5,4,1,High
8,0,7,6,5,Low
0,2,3,3,0,Medium
2,1,22,18,15,Low
7,1,4,4,4,Low
2,1,12,12,10,Low
0,2,5,4,1,Low
8,1,3,3,1,High
1,1,24,17,17,Medium
3,1,12,9,9,Medium
4,0,78,56,53,Medium
2,1,23,19,18,Low
5,1,3,2,0,High
2,1,12,11,11,High
4,0,261,182,182,Medium
7,1,4,4,2,Low
5,1,6,4,2,Low
7,1,4,3,2,Low
3,1,8,6,4,High
4,0,160,128,128,Medium
4,0,246,169,169,Medium
4,0,127,89,89,Medium
8,0,2,2,0,Medium
6,1,19,14,13,Medium
1,1,23,17,14,High
1,1,22,19,19,High
3,0,9,7,7,Medium
4,0,317,287,284,Low
0,2,2,1,1,High
1,1,15,10,8,High
1,1,14,13,13,Low
2,1,6,6,3,Medium
6,1,21,19,17,Medium
7,1,3,3,0,Medium
4,0,216,155,153,Low
5,1,6,4,3,Medium
7,1,2,1,0,High
2,1,17,13,13,Medium
2,1,22,20,18,Low
0,2,6,4,4,High
1,1,14,14,12,High
7,1,4,3,3,High
7,1,4,4,2,High
0,2,5,4,4,Low
3,1,7,5,5,High
7,1,2,1,0,High
5,1,5,5,2,Low
1,1,7,7,6,Low
2,1,28,23,22,Low
8,1,2,2,0,Low
5,1,5,4,3,Medium
2,1,7,5,2,Medium
3,1,4,4,2,Low
8,0,4,3,3,High
1,1,21,20,19,Medium
2,1,12,12,11,High
3,1,4,3,2,High
7,1,3,3,3,Medium
7,1,5,4,4,Medium
6,1,11,9,6,Low
6,1,18,17,17,Low
8,0,6,4,1,High
6,1,6,4,3,Low
6,1,4,3,1,Medium
7,1,4,3,1,Medium
0,2,5,5,2,High
0,2,2,2,1,High
0,2,2,2,2,Medium
2,1,22,17,17,High
0,2,4,3,0,High
1,1,11,10,10,Medium
8,0,7,6,3,High
3,1,8,6,4,High
1,1,7,5,3,Medium
4,0,353,272,272,High
7,1,4,4,4,Medium
4,0,107,74,72,High
3,1,4,4,2,Medium
8,0,7,7,5,Low
3,1,5,4,1,Low
7,1,2,1,0,High
8,0,7,7,6,Low
6,1,7,5,3,High
1,1,16,13,10,Medium
1,1,9,9,9,Low
0,2,3,3,1,Low
1,1,11,10,8,Low
0,2,6,4,4,Medium
2,1,11,11,10,High
2,1,22,15,12,Low
0,2,4,3,2,Low
1,1,21,19,19,Low
7,1,1,0,0,High
8,0,5,5,3,Low
3,1,14,13,13,Medium
2,1,23,16,16,Low
4,0,98,94,92,Medium
5,1,3,3,0,High
6,1,5,5,2,High
3,1,4,3,1,Medium
2,1,13,13,13,Low
4,0,196,178,177,Low
2,1,21,21,18,Low
2,1,23,21,20,Low
6,1,21,16,16,Low
0,2,7,6,4,High
7,1,2,2,0,Low
8,1,7,7,7,Low
3,1,9,6,4,Medium
4,0,175,132,130,High
5,0,9,7,4,Low
7,1,2,1,1,High
3,1,13,10,9,Medium
6,2,12,11,10,High
0,2,4,3,1,Medium
0,2,2,1,0,Medium
6,1,9,8,6,Medium
7,1,2,1,1,High
2,1,25,23,20,Low
0,2,6,4,3,High
4,0,95,69,66,Low
2,1,29,20,20,Medium
8,1,6,5,4,Low
6,1,18,14,13,Low
2,1,10,10,9,Low
2,1,28,20,17,High
5,1,5,5,4,Medium
0,2,2,2,1,Medium
7,1,5,5,3,Low
5,0,9,8,8,Low
8,0,6,6,4,High
1,1,23,16,16,Medium
8,1,6,5,5,High
1,1,12,12,12,High
7,1,3,3,2,Low
5,1,9,7,5,Low
6,1,5,5,3,Medium
4,0,283,236,234,High
0,2,4,4,3,Low
0,2,6,6,6,Low
3,1,8,7,6,Low
7,1,1,1,0,Medium
0,2,2,2,2,Medium
4,0,208,147,146,Medium
2,1,13,13,11,Low
3,1,14,13,13,Medium
8,1,7,5,2,High
6,1,12,9,9,Medium
8,1,2,2,0,Low
3,1,6,4,1,High
3,1,6,5,4,Low
2,1,15,10,10,Low
2,1,16,15,13,Low
2,1,22,20,18,Medium
4,0,267,254,251,Medium
0,2,2,2,2,Medium
8,1,5,4,3,High
1,1,8,7,4,Medium
6,1,19,18,17,Medium
6,2,10,10,9,Medium
7,1,3,2,2,High
5,1,9,9,9,Low
8,1,3,3,0,Low
1,1,12,8,6,Medium
8,0,5,4,2,Medium
7,2,3,3,3,High
0,2,6,4,4,Medium
8,0,7,7,7,Low
1,1,7,7,5,Low
0,2,6,5,2,Low
0,2,7,7,4,Medium
8,0,6,4,4,High
8,0,2,2,0,High
4,0,320,227,225,Low
5,1,4,3,3,Low
1,1,30,24,22,Medium
3,1,4,3,3,Medium
5,0,7,7,7,High
2,1,22,18,15,High
8,0,6,4,1,Medium
7,1,4,3,3,High
3,1,8,7,5,Low
1,1,23,19,18,Medium
1,1,19,16,15,Medium
5,0,5,4,2,Medium
0,2,7,6,5,Low
0,2,5,5,5,Low
3,1,12,11,10,Medium
1,1,26,21,20,Low
4,0,287,217,216,High
4,0,275,235,232,High
2,1,24,16,13,High
2,1,20,16,13,Low
5,0,9,8,6,Medium
6,1,21,17,17,High
2,1,21,15,14,High
7,1,3,3,0,High
3,1,10,10,7,Low
1,1,21,20,17,Low
3,1,6,5,3,Medium
3,0,13,13,12,High
4,0,177,124,123,Low
1,1,30,26,23,High
3,1,8,6,6,Low
7,1,3,2,0,Low
1,1,29,24,23,Medium
8,1,2,2,0,Low
6,1,8,6,3,High
0,2,7,5,2,High
6,1,15,13,11,Low
5,1,5,4,2,High
8,0,3,2,0,High
7,1,3,3,3,Low
8,1,7,5,4,High
0,2,7,7,7,Medium
8,1,5,5,5,Low
0,2,6,6,4,Low
8,0,7,5,2,High
6,1,4,3,3,Medium
6,1,15,12,11,Medium
7,1,2,2,2,Low
8,0,2,2,2,Low
2,1,16,15,14,Low
2,1,11,9,8,Low
1,1,9,9,7,Medium
3,1,8,7,7,High
6,2,12,10,8,Low
3,1,4,4,3,Low
0,2,7,6,6,High
5,1,7,6,6,Medium
2,1,27,25,25,Medium
5,0,7,7,7,Low
1,1,9,8,5,Medium
7,0,5,4,1,Medium
2,1,8,8,7,Low
8,1,4,3,3,Medium
2,1,9,8,5,Medium
5,1,8,7,6,Low
2,1,6,4,1,High
1,1,22,16,13,Low
0,2,6,4,3,Medium
4,0,155,141,141,Low
5,1,4,3,2,Medium
3,1,9,9,7,Medium
3,1,7,7,6,Medium
7,1,5,4,1,High
3,1,5,4,3,High
3,1,5,4,3,Medium
1,1,25,17,17,High
6,1,15,14,14,Low
8,0,3,2,0,Medium
5,1,8,6,3,High
0,2,4,3,3,Medium
7,1,4,4,2,Medium
2,1,23,17,15,Medium
3,1,7,6,6,Low
4,0,170,169,169,Medium
3,1,5,4,3,High
4,0,310,302,299,Medium
6,1,12,12,12,Medium
3,1,4,3,1,High
7,1,2,2,0,Low
2,1,23,23,22,Medium
8,0,4,4,4,High
2,1,8,6,3,Low
4,0,196,195,192,Low
3,1,5,5,2,High
7,1,4,3,2,High
0,2,7,5,3,Medium
8,1,3,2,1,Medium
6,1,6,5,3,Low
4,0,202,162,160,Low
1,1,23,21,20,Medium
3,1,4,3,1,High
4,0,204,155,152,High
1,1,11,10,9,Medium
8,1,4,3,1,High
2,1,26,23,22,High
5,0,3,2,0,High
4,0,250,177,176,Medium
4,0,273,198,195,High
2,1,27,24,22,High
0,2,4,3,0,Medium
8,0,3,2,0,High
8,1,3,3,1,Medium
3,1,11,9,6,High
0,2,2,1,1,High
0,2,7,7,4,Medium
1,1,22,22,22,Medium
4,0,248,194,192,Low
5,1,8,6,4,High
1,1,21,21,21,Low
5,1,5,4,4,Low
6,1,10,7,5,Medium
0,2,3,2,0,High
7,1,5,4,1,High
3,1,11,9,7,Low
1,1,21,14,11,High
6,1,20,17,15,Low
2,1,27,20,20,High
2,1,6,5,3,Medium
2,1,11,9,7,Low
5,1,8,6,4,High
1,1,13,11,8,Low
7,1,4,4,1,High
5,0,4,4,1,Low
7,1,2,2,2,Medium
5,1,3,3,0,Medium
3,1,12,12,11,Medium
5,1,9,8,5,Low
6,1,8,8,7,Medium
8,1,5,5,4,High
8,1,3,2,2,High
4,0,269,228,228,High
6,2,8,6,5,High
4,0,129,120,118,Medium
8,1,6,4,2,Medium
5,1,3,2,0,Medium
8,1,2,1,1,High
7,1,3,2,2,High
7,1,5,5,3,Low
1,1,8,7,6,Medium
4,0,224,183,181,Low
2,1,11,9,8,High
8,1,4,4,1,Medium
8,1,2,2,0,Medium
2,1,21,16,14,Low
5,1,9,8,8,Medium
5,0,4,3,0,Medium
2,1,27,21,20,High
8,1,7,7,5,Low
8,0,5,5,4,High
2,1,29,29,27,Low
5,1,8,7,5,High
6,1,13,9,7,High
3,1,10,10,9,Low
7,1,5,5,4,Medium
6,1,3,2,1,Medium
3,1,13,9,9,High
5,1,8,8,8,Medium
8,0,3,2,2,Medium
8,0,2,2,1,Low
6,1,8,8,7,High
6,1,7,5,5,High
1,1,10,8,5,Medium
0,2,2,2,2,High
7,1,4,3,0,Low
2,1,5,4,2,High
2,1,9,6,4,High
4,0,65,65,62,Low
8,0,2,1,0,High
4,0,131,102,102,Medium
7,1,2,1,0,Medium
7,1,2,2,0,Low
4,0,61,58,57,Medium
6,1,7,7,6,Medium
1,1,26,19,16,Medium
2,1,13,11,8,Low
1,1,26,19,16,Low
0,2,4,3,1,Medium
4,0,228,163,161,Low
6,2,10,9,9,Medium
7,1,4,4,3,Medium
3,1,6,5,3,High
6,1,5,5,5,Low
5,0,5,5,4,Medium
8,0,4,4,1,Low
4,0,61,53,52,Low
1,1,12,9,7,Medium
3,1,7,6,6,Medium
2,1,16,15,14,Medium
0,2,7,5,4,Medium
3,1,6,6,4,Medium
7,1,4,4,2,Medium
2,1,19,13,13,Medium
6,2,12,9,6,High
4,0,142,138,135,Low
6,1,13,11,11,Medium
5,0,5,4,2,High
2,1,13,12,10,Low
3,1,5,5,2,Low
6,1,14,10,10,Medium
4,0,156,134,134,Medium
5,1,6,6,5,High
8,1,7,5,2,High
7,1,3,2,2,High
2,1,29,24,22,Medium
7,1,3,3,2,High
2,1,26,26,24,Low
8,1,4,4,1,Low
4,0,127,110,107,Low
1,1,17,12,9,Medium
0,2,5,4,3,Low
8,1,2,2,0,Low
4,0,359,270,269,Medium
2,1,11,10,10,Low
3,1,4,3,0,Medium
4,0,194,185,184,Low
5,1,4,4,4,Low
0,2,3,3,2,High
3,1,3,2,1,Medium
2,1,30,30,29,Medium
0,2,4,3,1,Medium
3,1,8,6,5,High
3,1,13,9,7,Medium
5,1,4,4,3,High
3,1,14,11,10,Medium
6,1,15,10,8,Medium
0,2,3,3,3,Medium
2,1,24,20,17,High
4,0,169,139,136,Low
1,1,9,9,7,Low
3,1,10,9,7,High
5,0,7,7,7,Low
8,0,4,3,2,High
5,0,5,5,2,Low
8,0,5,5,4,Medium
4,0,297,274,271,Low
7,1,1,1,0,Medium
6,1,3,2,2,High
6,1,20,14,11,High
4,0,153,138,138,Low
0,2,2,1,1,Low
0,2,5,4,3,Medium
2,1,29,26,26,Low
3,1,14,11,11,Medium
4,0,328,277,275,Medium
4,0,107,99,96,Medium
1,1,18,12,12,Medium
5,0,7,7,7,Low
4,0,233,165,162,Low
3,1,4,3,2,Medium
0,2,5,5,2,Low
0,2,7,5,3,High
3,1,11,10,7,Low
6,2,9,9,9,Medium
3,1,4,3,1,High
3,1,8,8,6,Medium
2,1,25,17,17,Low
4,0,186,161,159,Medium
6,1,15,12,11,Medium
2,1,8,6,3,Low
5,0,4,4,2,High
3,0,3,2,0,High
0,2,2,1,0,High
6,1,18,12,10,Medium
7,1,1,0,0,High
1,1,22,18,15,Low
6,1,4,3,3,Medium
6,1,18,12,12,Low
8,0,7,5,3,High
2,1,29,21,18,Low
7,1,4,3,0,High
6,1,4,3,1,High
3,1,14,10,10,Low
5,1,8,6,3,High
7,1,4,3,0,High
3,1,7,7,5,Medium
1,1,7,7,6,Low
0,2,6,5,5,Medium
2,1,7,5,3,Medium
0,2,2,1,1,Medium
6,1,5,5,3,Medium
4,0,94,78,77,Medium
3,1,8,6,4,Low
8,1,5,4,1,High
0,2,5,4,2,Low
5,1,9,6,3,High
6,1,19,18,16,Low
7,1,1,0,0,High
8,1,7,5,3,High
6,1,14,13,10,Low
7,1,5,5,5,Medium
7,1,5,5,3,High
6,2,16,14,13,Medium
6,1,17,15,13,Medium
7,1,2,2,0,Medium
7,1,4,4,3,Low
8,1,7,6,4,Medium
1,1,25,17,17,High
5,1,10,10,10,Medium
4,0,298,292,291,High
5,1,9,6,6,High
0,2,6,6,3,Medium
1,1,13,12,9,Low
2,1,24,23,22,Medium
6,1,17,13,10,High
8,0,5,5,3,High
1,1,29,29,26,Medium
5,0,10,7,5,High
6,1,11,11,10,Medium
2,1,14,14,13,Low
3,1,6,4,4,High
7,1,2,1,0,High
0,2,7,7,7,Low
4,0,336,284,282,Low
7,1,1,1,1,Low
1,1,15,13,13,Low
8,1,4,4,4,High
2,1,22,20,18,Medium
5,1,8,6,5,Low
2,1,23,23,21,High
0,2,5,5,4,Low
5,1,7,5,3,Medium
3,1,5,5,5,Low
3,1,13,11,8,High
2,1,16,13,11,Low
5,1,6,5,5,High
4,0,133,107,104,High
8,0,6,4,4,High
6,1,18,15,15,High
0,2,5,4,1,Low
7,1,2,1,0,Low
4,0,241,232,230,High
2,1,8,8,7,High
1,1,23,20,17,High
0,2,7,5,2,Medium
4,0,355,353,350,Medium
6,1,17,13,10,High
1,1,16,14,13,Low
7,1,1,1,0,Low
2,1,25,17,14,Low
7,1,5,5,5,Low
1,1,22,21,18,Medium
1,1,16,12,9,Low
7,1,5,5,2,Low
3,1,9,6,4,Medium
3,1,12,9,7,High
4,0,352,338,337,Low
1,1,27,22,20,Medium
3,1,13,12,12,High
8,1,3,2,0,Medium
8,0,6,5,3,Low
6,1,5,5,3,Medium
5,1,8,8,5,Medium
3,1,9,7,5,Medium
5,0,10,8,7,High
5,1,8,8,5,Low
0,2,6,6,4,Low
8,1,5,5,4,Low
2,1,26,21,19,High
3,1,13,12,12,Low
7,1,2,1,0,Medium
8,0,2,2,0,Medium
1,1,17,17,14,Low
1,1,20,19,19,Low
4,0,85,61,58,High
3,1,3,2,0,Low
5,0,6,5,3,High
8,0,7,7,6,Medium
0,2,5,4,2,Low
4,0,219,175,175,Low
0,2,4,4,1,Low
1,1,24,17,17,Medium
0,2,6,4,1,Low
7,1,3,3,1,Medium
8,1,5,5,4,Low
6,1,15,11,9,High
5,0,3,2,0,High
0,2,5,4,2,High
1,1,23,21,18,Medium
0,2,7,5,4,Low
8,0,5,5,3,Low
8,1,3,2,1,High
0,2,6,6,5,Medium
1,1,29,20,17,Medium
8,0,2,2,0,Medium
1,1,21,18,17,High
0,2,5,5,2,Low
6,1,15,11,9,Medium
4,0,73,65,65,Low
4,0,154,113,111,High
8,0,5,5,3,High
4,0,270,248,247,High
5,0,8,7,6,Low
8,1,6,4,3,High
7,1,3,2,0,High
0,2,6,4,2,Medium
7,1,5,5,4,Medium
1,1,21,20,18,Low
7,1,4,3,3,Medium
6,1,13,11,11,Low
6,1,7,5,4,High
5,1,9,7,4,High
2,1,28,19,16,Medium
8,1,5,4,3,High
0,2,2,1,0,High
5,0,6,6,5,High
5,0,4,3,3,High
0,2,2,2,0,Low
3,1,3,3,2,Low
5,1,7,5,4,High
1,1,11,10,9,Medium
6,1,11,10,10,Low
1,1,15,13,13,High
4,0,190,164,164,Medium
7,1,1,0,0,High
3,1,11,8,8,High
5,1,6,6,3,Medium
7,1,4,4,4,Medium
8,0,5,4,4,High
7,1,3,3,2,Medium
3,1,5,4,1,Medium
4,0,329,265,263,Low
7,1,5,5,3,Medium
4,0,66,60,60,High
4,0,254,237,236,High
0,2,4,3,0,Low
7,1,5,5,2,Low
5,0,4,4,4,High
1,1,28,20,20,Low
4,0,190,178,178,Medium
0,2,6,5,5,Medium
7,1,5,5,5,High
5,0,3,3,2,Low
4,0,170,152,151,Low
2,1,26,19,19,Medium
3,1,6,6,3,High
8,1,7,6,3,High
4,0,95,66,64,Medium
1,1,17,16,13,Medium
3,1,4,4,3,Low
1,1,30,26,23,Low
8,0,7,5,2,High
1,1,22,21,20,High
2,1,12,11,10,Low
6,1,4,4,4,Low
3,1,11,9,8,Medium
1,1,11,9,9,Medium
3,1,11,10,9,High
6,1,19,16,14,Low
2,1,21,17,17,Medium
0,2,2,1,0,Low
3,1,5,4,1,High
2,1,20,16,13,High
2,1,12,11,11,Medium
8,1,4,4,3,High
3,1,10,10,9,High
3,1,5,4,3,High
0,2,3,3,3,High
3,1,3,3,1,Low
2,1,14,14,12,Medium
4,0,101,68,65,Low
5,1,7,7,6,High
4,0,86,61,60,Medium
5,1,8,6,6,High
3,1,11,11,9,Medium
5,1,10,9,6,Low
2,1,28,19,18,Medium
4,0,161,116,114,Medium
0,2,6,4,4,Low
1,1,29,20,18,Medium
2,1,29,29,26,Medium
7,1,2,2,2,Medium
5,1,4,4,3,Low
6,1,6,6,5,Low
4,0,360,290,288,Medium
7,1,2,2,1,Medium
8,1,6,6,3,High
6,1,18,14,14,High
2,1,10,9,8,Medium
5,1,8,6,5,Low
6,1,6,4,3,Low
2,1,25,21,18,Low
8,1,4,3,3,Medium
6,1,7,5,4,High
8,0,2,1,0,Low
1,1,20,17,14,Medium
3,1,6,6,4,Low
5,1,3,2,0,High
4,0,98,92,90,High
7,1,1,0,0,Medium
2,1,18,15,14,High
4,0,294,274,273,Medium
3,1,12,9,7,Medium
6,1,19,17,14,High
6,1,8,6,3,Low
1,2,19,17,14,Low
7,1,1,1,0,Low
8,0,4,3,0,Medium
2,1,15,15,12,Low
7,1,3,2,2,High
2,1,16,13,13,Medium
2,1,18,15,15,Low
1,1,24,20,17,Low
3,1,7,6,3,Medium
7,1,5,4,2,High
7,1,1,1,0,Low
7,1,2,1,0,High
2,1,17,13,11,High
4,0,294,272,271,Medium
0,2,4,4,1,High
5,0,3,2,0,High
0,2,4,3,0,Medium
3,1,3,3,1,Low
1,1,16,16,15,High
1,1,9,6,5,Medium
5,1,7,7,5,Low
8,0,2,2,0,Low
0,2,6,4,2,High
3,1,11,10,10,High
4,0,227,187,186,Medium
6,1,19,19,18,Low
2,1,6,5,4,Medium
4,0,307,282,279,Low
3,1,9,8,8,Medium
6,1,9,6,5,High
6,1,16,15,13,Low
5,0,3,3,1,Low
2,1,28,22,19,High
3,1,7,6,3,Low
8,1,6,6,6,Medium
1,1,14,12,12,Low
7,1,4,3,2,High
3,1,9,8,6,Low
6,1,9,6,5,High
3,0,8,7,5,High
8,1,6,5,2,Medium
6,1,9,6,3,Medium
4,0,101,81,81,Medium
7,1,5,5,4,High
0,2,4,4,2,High
4,0,85,83,80,Medium
2,1,26,19,17,Medium
2,1,26,18,16,High
7,1,3,3,2,Medium
1,1,8,7,6,Low
3,1,9,7,6,Medium
4,0,307,214,212,High
6,1,17,15,12,Low
6,2,16,11,8,High
8,0,6,6,4,High
1,1,16,16,16,Low
5,1,5,5,3,High
6,1,8,8,8,High
6,1,21,14,12,Low
2,1,29,21,18,High
0,2,3,2,0,High
2,1,13,12,9,High
7,1,1,1,0,Medium
5,1,6,6,6,Low
1,1,16,15,14,High
7,1,1,1,0,Low
7,1,3,2,0,High
0,2,6,5,3,Low
6,1,13,10,10,Low
1,1,28,28,27,Medium
5,1,8,8,8,High
3,0,8,7,6,High
6,2,11,10,10,Low
8,1,3,2,2,High
0,2,4,3,3,High
3,1,6,6,6,Low
7,1,2,1,1,High
5,1,9,6,4,High
4,0,345,328,326,Medium
6,1,3,2,0,Medium
8,1,2,1,1,Medium
3,1,8,7,5,Low
5,1,9,9,9,Medium
2,1,17,16,15,High
2,1,18,15,13,Medium
6,1,7,7,7,Low
6,1,21,14,11,Low
6,1,18,18,17,High
0,2,2,2,2,Low
7,1,4,3,3,Medium
3,1,3,2,2,High
7,1,3,2,0,High
8,1,6,5,5,Low
6,1,14,13,11,Medium
4,0,340,282,282,Low
8,0,6,5,5,Low
5,1,9,7,6,Low
0,2,7,5,2,Medium
4,0,115,86,84,Low
7,0,4,4,4,Medium
5,0,3,3,2,High
8,1,2,1,0,Medium
3,1,4,4,2,Low
4,0,189,181,180,Medium
2,1,21,21,18,Medium
8,1,2,2,1,Low
3,1,12,9,6,High
8,0,2,1,0,High
3,1,12,9,6,High
0,2,5,4,2,Medium
2,1,15,14,11,Medium
3,1,8,8,8,High
1,1,20,19,19,High
1,1,19,18,18,Low
5,1,4,4,4,Medium
8,1,7,5,2,High
8,0,2,2,1,Medium
7,1,2,2,1,High
7,1,3,2,2,High
5,1,8,7,6,Low
8,1,2,2,0,Low
3,1,6,4,3,High
4,0,253,184,183,Low
2,1,9,6,5,High
7,1,1,0,0,High
7,1,3,3,3,High
8,1,6,5,3,High
0,2,6,5,5,Low
7,1,4,4,4,Medium
8,1,3,3,0,Medium
7,1,5,4,4,High
4,0,68,52,50,Low
7,1,3,3,3,Medium
5,1,4,4,3,Medium
1,1,15,13,12,Medium
2,1,11,9,9,Low
7,1,2,2,2,High
8,0,2,1,0,High
8,0,5,5,2,High
3,1,5,5,5,Medium
7,1,5,4,3,High
7,1,1,1,0,Medium
7,1,4,4,4,Low
7,1,5,5,5,Medium
7,1,2,2,0,Low
4,0,359,354,351,High
2,1,30,29,26,Low
7,1,1,1,0,Low
8,1,3,2,0,High
5,0,7,5,2,Medium
0,2,3,2,1,Medium
8,1,7,7,7,Medium
2,1,5,5,3,Medium
5,1,10,9,9,Medium
5,1,7,7,5,Low
6,1,11,10,7,Low
6,2,8,7,5,High
3,1,5,5,3,Low
7,1,4,3,1,Low
7,1,1,1,1,Low
2,1,5,4,4,Low
1,1,20,19,18,Medium
4,0,232,177,176,Low
3,1,11,10,8,Medium
7,1,3,3,1,Medium
0,2,7,6,4,Medium
2,1,6,4,2,High
4,0,336,233,232,Medium
7,1,1,0,0,High
5,0,10,9,9,High
7,1,3,3,2,Low
4,0,75,52,52,Medium
4,0,79,55,52,Low
7,1,3,3,1,Medium
7,0,1,0,0,High
2,1,6,6,3,Medium
4,0,282,274,271,Low
4,0,170,164,164,Low
0,2,5,4,3,Medium
1,1,16,16,13,Medium
1,1,16,14,12,Low
2,1,5,5,4,Low
5,0,3,2,0,Medium
3,1,8,7,4,Low
8,1,7,7,6,Medium
6,1,14,11,8,High
6,1,4,4,4,Medium
5,0,8,8,8,High
8,0,2,1,1,High
6,1,21,18,17,Low
5,1,7,5,3,High
1,1,29,28,27,High
2,1,30,24,23,Low
2,1,8,6,4,Low
0,2,6,6,4,Low
1,1,11,10,8,High
6,1,8,7,4,Medium
4,0,65,63,61,Low
2,1,29,21,21,High
8,1,4,4,4,Low
8,1,2,1,0,High
0,2,4,3,2,Low
4,0,145,145,144,Medium
7,1,5,4,1,High
5,1,4,3,2,Medium
4,0,302,270,269,Low
7,1,5,5,5,Medium
3,1,4,4,1,High
2,1,10,7,7,Medium
5,0,8,7,6,Medium
5,1,6,4,3,Medium
2,1,6,4,4,Medium
8,1,5,5,3,Medium
0,2,3,3,3,Medium
6,1,6,6,6,Low
8,1,4,4,4,Low
7,1,2,2,0,Medium
3,1,3,2,0,High
1,1,9,7,4,High
6,1,17,13,11,Low
7,1,3,2,2,Low
8,1,6,5,4,High
8,1,5,4,2,Medium
2,1,7,7,5,Medium
8,1,5,4,3,High
2,1,29,22,21,Medium
6,2,14,11,9,High
8,0,4,3,2,High
0,2,4,4,1,Low
1,1,15,10,10,Medium
7,1,3,3,2,Low
4,0,255,207,206,Low
0,2,7,6,4,Low
6,1,20,20,19,Low
5,0,7,7,7,Low
5,1,8,8,6,Medium
1,1,26,21,20,High
8,1,5,4,4,Low
2,1,10,9,9,Low
6,1,15,14,13,Medium
3,1,11,11,8,Medium
5,1,6,6,6,Low
0,2,7,6,6,Medium
2,1,11,11,8,Low
0,2,2,1,0,Medium
0,2,4,3,1,Medium
5,1,8,6,4,Medium
0,2,5,4,2,Medium
8,1,2,1,0,Medium
3,1,12,9,8,Low
0,2,7,6,3,Medium
4,0,157,131,128,Low
4,0,91,80,77,Medium
7,1,5,4,1,High
0,2,7,6,3,Low
5,1,3,2,2,Low
6,1,18,13,11,Medium
1,1,23,22,19,High
6,1,10,9,6,High
2,1,29,21,21,Low
4,0,204,148,146,High
4,0,146,136,134,Low
0,2,4,4,3,Medium
5,1,6,6,3,Medium
1,1,8,7,4,High
2,1,25,21,18,Medium
1,1,14,11,9,Low
5,1,8,6,4,High
4,0,71,58,57,Low
3,1,8,8,6,Low
6,1,12,11,11,Medium
2,1,10,8,8,High
3,1,7,6,3,High
1,1,25,19,19,Medium
4,0,314,212,211,Low
0,2,2,1,0,Medium
7,1,3,2,0,High
4,0,239,186,184,Low
8,0,6,6,6,High
4,0,259,248,245,Low
4,0,255,187,186,High
0,2,6,6,6,Medium
8,1,5,4,2,Medium
6,1,15,15,14,Low
0,2,5,4,2,Low
1,1,26,24,22,Low
0,2,7,5,4,Low
7,1,5,5,4,High
7,1,5,4,3,Low
1,1,15,13,11,Low
0,2,7,6,4,Medium
3,1,8,8,6,Medium
0,2,6,5,5,High
3,1,8,7,4,Medium
4,0,338,230,229,Low
5,1,10,10,9,Low
0,2,5,4,3,High
7,1,1,1,0,Low
0,2,7,5,5,High
1,1,12,8,8,High
5,1,8,6,3,Low
1,1,26,23,20,Medium
0,2,5,5,2,Medium
3,1,11,8,8,Medium
6,1,20,14,14,Low
4,0,146,122,119,Medium
